place_name,place_type,year,quarter,value
גבעתיים,עירייה,2016,2,1057.0
גבעתיים,עירייה,2016,3,948.0
גבעתיים,עירייה,2016,4,836.0
גבעתיים,עירייה,2017,1,1030.0
גבעתיים,עירייה,2017,2,368.0
גדרה,מועצה מקומית,2012,1,257.0
גדרה,מועצה מקומית,2012,2,137.0
גדרה,מועצה מקומית,2012,3,125.0
גדרה,מועצה מקומית,2012,4,74.0
גדרה,מועצה מקומית,2013,1,185.0
גדרה,מועצה מקומית,2013,2,204.0
גדרה,מועצה מקומית,2013,3,131.0
גדרה,מועצה מקומית,2013,4,73.0
גדרה,מועצה מקומית,2014,1,55.0
גדרה,מועצה מקומית,2014,2,76.0
גדרה,מועצה מקומית,2014,3,73.0
גדרה,מועצה מקומית,2014,4,56.0
גדרה,מועצה מקומית,2015,1,159.0
גדרה,מועצה מקומית,2015,2,117.0
גדרה,מועצה מקומית,2015,3,504.0
גדרה,מועצה מקומית,2015,4,456.0
גדרה,מועצה מקומית,2016,1,467.0
גדרה,מועצה מקומית,2016,2,326.0
גדרה,מועצה מקומית,2016,3,689.0
גדרה,מועצה מקומית,2016,4,376.0
גדרה,מועצה מקומית,2017,1,450.0
גדרה,מועצה מקומית,2017,2,122.0
גן יבנה,מועצה מקומית,2012,1,172.0
גן יבנה,מועצה מקומית,2012,2,185.0
גן יבנה,מועצה מקומית,2012,3,212.0
גן יבנה,מועצה מקומית,2012,4,196.0
גן יבנה,מועצה מקומית,2013,1,211.0
גן יבנה,מועצה מקומית,2013,2,214.0
גן יבנה,מועצה מקומית,2013,3,228.0
גן יבנה,מועצה מקומית,2013,4,177.0
גן יבנה,מועצה מקומית,2014,1,185.0
גן יבנה,מועצה מקומית,2014,2,141.0
גן יבנה,מועצה מקומית,2014,3,67.0
גן יבנה,מועצה מקומית,2014,4,109.0
גן יבנה,מועצה מקומית,2015,1,94.0
גן יבנה,מועצה מקומית,2015,2,103.0
גן יבנה,מועצה מקומית,2015,3,133.0
גן יבנה,מועצה מקומית,2015,4,79.0
גן יבנה,מועצה מקומית,2016,1,147.0
גן יבנה,מועצה מקומית,2016,2,91.0
גן יבנה,מועצה מקומית,2016,3,146.0
גן יבנה,מועצה מקומית,2016,4,142.0
גן יבנה,מועצה מקומית,2017,1,163.0
גן יבנה,מועצה מקומית,2017,2,70.0
דייר אל אסד,מועצה מקומית,2012,1,74.0
דייר אל אסד,מועצה מקומית,2012,2,35.0
דייר אל אסד,מועצה מקומית,2012,3,23.0
דייר אל אסד,מועצה מקומית,2012,4,62.0
דייר אל אסד,מועצה מקומית,2013,1,40.0
דייר אל אסד,מועצה מקומית,2013,2,28.0
דייר אל אסד,מועצה מקומית,2013,3,39.0
דייר אל אסד,מועצה מקומית,2013,4,70.0
דייר אל אסד,מועצה מקומית,2014,1,105.0
דייר אל אסד,מועצה מקומית,2014,2,83.0
דייר אל אסד,מועצה מקומית,2014,3,54.0
דייר אל אסד,מועצה מקומית,2014,4,79.0
דייר אל אסד,מועצה מקומית,2015,1,75.0
דייר אל אסד,מועצה מקומית,2015,2,64.0
דייר אל אסד,מועצה מקומית,2015,3,106.0
דייר אל אסד,מועצה מקומית,2015,4,37.0
דייר אל אסד,מועצה מקומית,2016,1,118.0
דייר אל אסד,מועצה מקומית,2016,2,93.0
דייר אל אסד,מועצה מקומית,2016,3,106.0
דייר אל אסד,מועצה מקומית,2016,4,91.0
דייר אל אסד,מועצה מקומית,2017,1,169.0
דייר אל אסד,מועצה מקומית,2017,2,72.0
דימונה,עירייה,2012,1,358.0
דימונה,עירייה,2012,2,563.0
דימונה,עירייה,2012,3,518.0
דימונה,עירייה,2012,4,439.0
דימונה,עירייה,2013,1,468.0
דימונה,עירייה,2013,2,491.0
דימונה,עירייה,2013,3,526.0
דימונה,עירייה,2013,4,548.0
דימונה,עירייה,2014,1,459.0
דימונה,עירייה,2014,2,396.0
דימונה,עירייה,2014,3,378.0
דימונה,עירייה,2014,4,571.0
דימונה,עירייה,2015,1,605.0
דימונה,עירייה,2015,2,582.0
דימונה,עירייה,2015,3,382.0
דימונה,עירייה,2015,4,326.0
דימונה,עירייה,2016,1,701.0
דימונה,עירייה,2016,2,548.0
דימונה,עירייה,2016,3,499.0
דימונה,עירייה,2016,4,381.0
דימונה,עירייה,2017,1,554.0
דימונה,עירייה,2017,2,285.0
הוד השרון,עירייה,2012,1,792.0
הוד השרון,עירייה,2012,2,625.0
הוד השרון,עירייה,2012,3,651.0
הוד השרון,עירייה,2012,4,337.0
הוד השרון,עירייה,2013,1,308.0
הוד השרון,עירייה,2013,2,1964.0
הוד השרון,עירייה,2013,3,897.0
הוד השרון,עירייה,2013,4,2435.0
הוד השרון,עירייה,2014,1,1416.0
הוד השרון,עירייה,2014,2,1393.0
הוד השרון,עירייה,2014,3,548.0
הוד השרון,עירייה,2014,4,422.0
הוד השרון,עירייה,2015,1,340.0
הוד השרון,עירייה,2015,2,253.0
הוד השרון,עירייה,2015,3,352.0
הוד השרון,עירייה,2015,4,429.0
הוד השרון,עירייה,2016,1,681.0
הוד השרון,עירייה,2016,2,599.0
הוד השרון,עירייה,2016,3,1521.0
הוד השרון,עירייה,2016,4,1314.0
הוד השרון,עירייה,2017,1,1418.0
הוד השרון,עירייה,2017,2,594.0
הרצליה,עירייה,2012,1,1153.0
הרצליה,עירייה,2012,2,930.0
הרצליה,עירייה,2012,3,891.0
הרצליה,עירייה,2012,4,630.0
הרצליה,עירייה,2013,1,1132.0
הרצליה,עירייה,2013,2,960.0
הרצליה,עירייה,2013,3,1459.0
הרצליה,עירייה,2013,4,1001.0
הרצליה,עירייה,2014,1,1301.0
